question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
"A child was brought to the hospital was found to have hypoglycemia, hepatomegaly and accumulation of highly branched glycogen called limit dextrins. He is likely to be suffering from:",Cori's disease,opd,McArdle's disease,Anderson's disease,von Gierke's disease,Cori's disease,"A child was brought to the hospital was found to have hypoglycemia, hepatomegaly and accumulation of highly branched glycogen called limit dextrins. He is likely to be suffering from: Cori's disease. Here is an additional explanation: Ans. 'D' Cori's diseaseCori's disease is also called Limit dextrinosis. It is a Type IIa glycogen storage disorder.It occurs due to the deficiency of the enzyme liver and muscle debranching enzyme.The clinical features are fasting hypoglycemia, hepatomegaly in infancy, accumulation of characteristic branched polysaccharide (limit dextrin) and muscle weakness.",Biochemistry,child brought hospital found hypoglycemia hepatomegaly accumulation highly branched glycogen called limit dextrins likely suffering
Decay of enamel following radiotherapy is initiated due to:,Decrease in salivary flow,opa,Decrease in salivary flow,Direct radiations contacting the enamel,Dessication of tooth structure,Hypocalcification and pitting of enamel,"Decay of enamel following radiotherapy is initiated due to: Decrease in salivary flow. Here is an additional explanation: Radiation caries is a rampant form of dental decay that may occur in individuals who receive a course of radiotherapy that includes exposure of the salivary glands. Patients receiving radiation therapy to oral structures have increase in Streptococcus mutans, Lactobacillus, and Candida. Caries results from changes in the salivary glands and saliva, including reduced flow, decreased pH, reduced buffering capacity, increased viscosity, and altered flora. 
White and Pharoah, pg-22",Radiology,Decay enamel following radiotherapy initiated due
Maximum infective stage of hepatitis B is,HBe Ag,opb,HBsAg,HBe Ag,HBc Ag,Anti-HBs,Maximum infective stage of hepatitis B is HBe Ag. ,Dental,Maximum infective stage hepatitis B
Lente insulin is composed of:,30% Amorphous + 70% Crystalline insulin,opa,30% Amorphous + 70% Crystalline insulin,30% Crystalline + 70% Amorphous insulin,Same as NPH insulin,Only 70% amorphous insulin,Lente insulin is composed of: 30% Amorphous + 70% Crystalline insulin. Here is an additional explanation: Answer- A. 30% Amorphous + 70% Crystalline insulinLente insulin is a 7:3 mixture of long acting ultralente (crystalline) and sho-acting semilente (amorphous) insulin zincsuspension.Long Actinglnsulin glargineInsulin detemirInsulin degludecProtamine zinc insulin,Pharmacology,Lente insulin composed
Materials which has high compressive strength and low tensile strength is classified with property of,Brittleness,opb,Ductility,Brittleness,Malleability,Resilient,Materials which has high compressive strength and low tensile strength is classified with property of Brittleness. ,Dental,Materials high compressive strength low tensile strength classified property
Apical foramen is offcenter the root apex,0.5-3 mm,opa,0.5-3 mm,0.5- 1 mm,1.5-4 mm,1.5-3 mm,Apical foramen is offcenter the root apex 0.5-3 mm. ,Dental,Apical foramen offcenter root apex
"When there is a prematurity in centric occlusion but not
in eccentric or other movements then reduce;",Opposing fassa or marginal ridge,opc,Cusps of opposing teeth,Mesiodistal position of teeth,Opposing fassa or marginal ridge,None of the above,"When there is a prematurity in centric occlusion but not
in eccentric or other movements then reduce; Opposing fassa or marginal ridge. ",Dental,prematurity centric occlusion eccentric movements reduce
A condition of the mouth which increases the caries activity in the oral cavity is,Xerostomia,opa,Xerostomia,Fissured tongue,Hairy tongue,Watery saliva,A condition of the mouth which increases the caries activity in the oral cavity is Xerostomia. ,Surgery,condition mouth increases caries activity oral cavity
Hyaline membrane disease of lungs is characterized by –,FRC is smaller than closing volume,opa,FRC is smaller than closing volume,FRC is greater than closing volume,FRC is equal to closing volume,FRC is independent of closing volume,"Hyaline membrane disease of lungs is characterized by – FRC is smaller than closing volume. Here is an additional explanation: ""Hyaline membrane disease reduces compliance and causes a fall in FRC (to levels below the normal closing volume of the lung)"". _______________________________________________ Handbook of pediatric intensive care",Pediatrics,Hyaline membrane disease lungs characterized
Which of the following is clinical use of tafenoquine?,Radical cure of Plasmodium vivax,opa,Radical cure of Plasmodium vivax,Prophylaxis of malaria in pregnancy,Treatment of severe falciparum malaria,Treatment of endemic malaria in children < 2 years,"Which of the following is clinical use of tafenoquine? Radical cure of Plasmodium vivax. Here is an additional explanation: Radical cure - About 8-30% P.v. cases relapse due to persistance of exoerythrocytic stage. Drugs which attack this stage (hypnozoites) given together with a clinical curative achieve total eradication of the parasite from the patient's body. Drug of choice for radical cure of vivax and ovale malaria is: * Primaquine 15 mg daily for 14 days * Tafenoquine is a new long-acting exoerythrocytic schizontocide, has been developed as a single dose anti-relapse drug for vivax malaria.",Pharmacology,following clinical use tafenoquine
Anaesthestic agent causing adrenal suppression,Etomidate,opc,Midazolom,Thiopentone,Etomidate,Propofol,Anaesthestic agent causing adrenal suppression Etomidate. ,Pharmacology,Anaesthestic agent causing adrenal suppression
Which of the following is not a monomeric intermediate filament?,Tubulin,opd,Vimentin,Keratin,Desmin,Tubulin,"Which of the following is not a monomeric intermediate filament? Tubulin. Here is an additional explanation: Ans. D. TubulinThe building block of a microtubule is the tubulin subunit, a heterodimer of a- and b-tubulin.",Physiology,following monomeric intermediate filament
"A patient comes with pinpoint pupil, salivation, tremors, and red tears. Cholinesterase activity was 30% normal. Probable diagnosis is:",Organophosphate poisoning,opb,Opium,Organophosphate poisoning,Dhatura,Organochloride pesticide poisoning,"A patient comes with pinpoint pupil, salivation, tremors, and red tears. Cholinesterase activity was 30% normal. Probable diagnosis is: Organophosphate poisoning. Here is an additional explanation: Ans.B i.e. Organophosphorus* These are characteristic features of anti-cholinesterase (organophosphate and carbamate) poisoning.* Features of Organophosphate poisoning: - Muscarinic symptoms: Pinpoint pupil, salivation, lacrimation, urination, defecation, gastrointestinal distress, vomiting, bronchospasm, bradycardia. - Nicotinic symptoms: Fasciculations and fibrillations of muscle, tachycardia, tachypnea. - CNS symptoms: Tremors, giddiness, ataxia, coma. - Red tears: Due to accumulation of porphyrin in the lacrimal glands",Forensic Medicine,patient comes pinpoint pupil salivation tremors red tears Cholinesterase activity normal Probable diagnosis
"45-year-old presents with persistent productive cough and clubbing. On auscultation, wheeze and crackles are present. Which is the most specific investigation to confirm the diagnosis?",HRCT,opa,HRCT,Bronchoscopy with bronchoalveolar lavage,Chest X-ray,MRI,"45-year-old presents with persistent productive cough and clubbing. On auscultation, wheeze and crackles are present. Which is the most specific investigation to confirm the diagnosis? HRCT. Here is an additional explanation: Ans. a. HRCTPersistence of a productive cough, clubbing, wheeze, and crackles is suggestive of bronchiectasis. HRCT is the diagnostic procedure of choice (most specific).HRCT findings in bronchiectasis:Airway dilation (detected as parallel ""tram tracks"" or as the ""signet-ring sign"").Lack of bronchial taperingBronchial wall thickening in dilated airwaysInspissated secretions (e.g., the ""tree-in-bud"" pattern)Cysts emanating from the bronchial wall (especially pronounced in cystic bronchiectasis)",Medicine,presents persistent productive cough clubbing auscultation wheeze crackles present specific investigation confirm diagnosis
"The ""Pulse oximetry"" used in the determination of:",Oxygen saturation,opb,Rate of flow,Oxygen saturation,Blood volume,Blood coefficient,"The ""Pulse oximetry"" used in the determination of: Oxygen saturation. ",Dental,Pulse oximetry used determination
The iron carbide in orthodontic wire is in the form of:,Austenite,opd,Martensite,Ferrite,Carbide,Austenite,The iron carbide in orthodontic wire is in the form of: Austenite. ,Dental,iron carbide orthodontic wire form
Ewing's postulates concerns with which of the following:,Growth at the site following trauma,opa,Growth at the site following trauma,Growth after a neurological injury,Age related changes in the teeth,Old seminal stains,"Ewing's postulates concerns with which of the following: Growth at the site following trauma. Here is an additional explanation: Ans: a. Growth at the site following trauma(Ref Parikh 6/e p4.89).Ewing's Postulates:Ceain criteria, known as `Ewing's postulates', must be satisfied before a relationship between trauma and new growth is accepted:The tumor must arise exactly at the site injuredDefinite and substantial trauma must be provedThe tumor must be confirmed pathologicallyThe tissue at the site must have been healthy before the traumaA reasonable interval-neither too long or too sho--must elapse between the time of the trauma and the appearance of the tumorThough not one of the Ewing's original postulates, there should be some good scientific reason for ascribing the tumor formation to the injury and this is rarely possible.",Forensic Medicine,Ewing postulates concerns following
